data_horario,total,total_sem_reagendado,compareceu,nao_compareceu,reagendado
"2022-01-04 09:00:00",9,8,1,7,1
"2022-01-04 09:30:00",1,1,0,1,0
"2022-01-04 10:00:00",6,6,2,4,0
"2022-01-04 10:30:00",1,1,1,0,0
"2022-01-04 11:00:00",6,4,2,2,2
"2022-01-04 12:00:00",5,4,0,4,1
"2022-01-04 14:00:00",11,11,1,10,0
"2022-01-04 14:30:00",1,1,0,1,0
"2022-01-04 15:00:00",9,9,2,7,0
"2022-01-04 15:30:00",1,1,1,0,0
"2022-01-04 16:00:00",9,9,3,6,0
"2022-01-04 16:30:00",2,1,0,1,1
"2022-01-04 17:00:00",4,2,0,2,2
"2022-01-05 09:00:00",4,4,3,1,0
"2022-01-05 10:00:00",5,5,1,4,0
"2022-01-05 10:30:00",2,2,0,2,0
"2022-01-05 11:00:00",4,3,2,1,1
"2022-01-05 11:30:00",1,1,1,0,0
"2022-01-05 12:00:00",4,3,1,2,1
"2022-01-05 14:00:00",8,6,2,4,2
"2022-01-05 14:30:00",1,1,1,0,0
"2022-01-05 15:00:00",8,6,2,4,2
"2022-01-05 16:00:00",6,5,0,5,1
"2022-01-05 16:30:00",4,4,1,3,0
"2022-01-05 17:00:00",3,3,1,2,0
"2022-01-06 09:00:00",3,2,1,1,1
"2022-01-06 09:30:00",1,0,0,0,1
"2022-01-06 10:00:00",2,0,0,0,2
"2022-01-06 11:00:00",5,3,1,2,2
"2022-01-06 11:30:00",2,1,0,1,1
"2022-01-06 12:00:00",1,1,1,0,0
"2022-01-06 14:00:00",5,4,1,3,1
"2022-01-06 14:30:00",2,2,1,1,0
"2022-01-06 15:00:00",10,10,2,8,0
"2022-01-06 16:00:00",6,4,2,2,2
"2022-01-06 16:30:00",3,2,1,1,1
"2022-01-06 17:00:00",4,4,1,3,0
"2022-01-07 09:00:00",3,3,1,2,0
"2022-01-07 09:30:00",2,2,1,1,0
"2022-01-07 10:00:00",5,5,4,1,0
"2022-01-07 11:00:00",1,1,0,1,0
"2022-01-07 12:00:00",1,1,0,1,0
"2022-01-07 14:00:00",4,4,1,3,0
"2022-01-07 14:30:00",1,0,0,0,1
"2022-01-07 15:00:00",3,2,0,2,1
"2022-01-07 15:30:00",3,2,0,2,1
"2022-01-07 16:00:00",2,2,0,2,0
"2022-01-07 16:30:00",2,2,0,2,0
"2022-01-07 17:00:00",3,2,1,1,1
"2022-01-08 08:00:00",2,2,1,1,0
"2022-01-08 08:30:00",1,1,1,0,0
"2022-01-08 09:00:00",5,3,0,3,2
"2022-01-08 09:30:00",1,1,1,0,0
"2022-01-08 10:00:00",7,7,3,4,0
"2022-01-08 10:30:00",3,3,3,0,0
"2022-01-08 11:00:00",7,7,3,4,0
"2022-01-08 13:00:00",10,10,3,7,0
"2022-01-08 13:30:00",1,1,1,0,0
"2022-01-08 14:00:00",7,6,2,4,1
"2022-01-08 14:30:00",1,1,0,1,0
"2022-01-08 15:00:00",5,4,0,4,1
"2022-01-08 15:30:00",4,4,1,3,0
"2022-01-08 16:00:00",4,3,1,2,1
"2022-01-11 09:00:00",11,9,1,8,2
"2022-01-11 09:30:00",1,1,0,1,0
"2022-01-11 10:00:00",5,5,1,4,0
"2022-01-11 10:30:00",1,1,0,1,0
"2022-01-11 11:00:00",3,3,2,1,0
"2022-01-11 12:00:00",3,3,1,2,0
"2022-01-11 14:00:00",10,10,4,6,0
"2022-01-11 14:30:00",2,2,1,1,0
"2022-01-11 15:00:00",7,6,1,5,1
"2022-01-11 15:30:00",1,1,0,1,0
"2022-01-11 16:00:00",4,3,0,3,1
"2022-01-11 17:00:00",3,3,0,3,0
"2022-01-12 09:00:00",6,5,1,4,1
"2022-01-12 09:30:00",2,2,2,0,0
"2022-01-12 10:00:00",2,1,1,0,1
"2022-01-12 10:30:00",2,1,0,1,1
"2022-01-12 11:00:00",3,2,1,1,1
"2022-01-12 12:00:00",1,1,0,1,0
"2022-01-12 14:00:00",4,4,4,0,0
"2022-01-12 14:30:00",2,2,1,1,0
"2022-01-12 15:00:00",4,4,0,4,0
"2022-01-12 16:00:00",4,4,3,1,0
"2022-01-12 16:30:00",1,1,0,1,0
"2022-01-12 17:00:00",3,2,0,2,1
"2022-01-13 09:00:00",3,2,1,1,1
"2022-01-13 10:00:00",4,3,1,2,1
"2022-01-13 10:30:00",1,1,1,0,0
"2022-01-13 11:00:00",2,2,1,1,0
"2022-01-13 14:00:00",2,2,1,1,0
"2022-01-13 14:30:00",2,2,1,1,0
"2022-01-13 15:00:00",3,3,1,2,0
"2022-01-13 15:30:00",1,1,1,0,0
"2022-01-13 16:00:00",4,3,0,3,1
"2022-01-13 16:30:00",1,1,0,1,0
"2022-01-13 17:00:00",3,3,1,2,0
"2022-01-14 09:00:00",2,2,0,2,0
"2022-01-14 10:00:00",1,0,0,0,1
"2022-01-14 10:30:00",1,1,1,0,0
"2022-01-14 11:30:00",1,0,0,0,1
"2022-01-14 14:00:00",4,4,1,3,0
"2022-01-14 15:00:00",3,3,2,1,0
"2022-01-14 16:00:00",3,3,1,2,0
"2022-01-14 17:00:00",4,2,0,2,2
"2022-01-15 08:00:00",3,3,1,2,0
"2022-01-15 08:30:00",1,1,1,0,0
"2022-01-15 09:00:00",4,3,1,2,1
"2022-01-15 09:30:00",1,1,0,1,0
"2022-01-15 10:00:00",10,7,2,5,3
"2022-01-15 11:00:00",4,2,1,1,2
"2022-01-15 13:00:00",5,3,1,2,2
"2022-01-15 14:00:00",4,4,0,4,0
"2022-01-15 14:30:00",1,1,1,0,0
"2022-01-15 15:00:00",5,5,1,4,0
"2022-01-15 15:30:00",3,3,0,3,0
"2022-01-15 16:00:00",4,4,0,4,0
"2022-01-18 09:00:00",8,7,2,5,1
"2022-01-18 09:30:00",1,1,1,0,0
"2022-01-18 10:00:00",8,7,2,5,1
"2022-01-18 10:30:00",1,1,0,1,0
"2022-01-18 11:00:00",2,2,1,1,0
"2022-01-18 11:30:00",1,1,1,0,0
"2022-01-18 12:00:00",3,3,0,3,0
"2022-01-18 14:00:00",5,5,2,3,0
"2022-01-18 14:30:00",1,1,0,1,0
"2022-01-18 15:00:00",5,5,2,3,0
"2022-01-18 16:00:00",3,3,0,3,0
"2022-01-18 16:30:00",2,2,0,2,0
"2022-01-18 17:00:00",3,3,1,2,0
"2022-01-19 09:00:00",6,5,2,3,1
"2022-01-19 09:30:00",2,2,0,2,0
"2022-01-19 10:00:00",4,2,1,1,2
"2022-01-19 11:00:00",2,2,1,1,0
"2022-01-19 12:00:00",1,1,0,1,0
"2022-01-19 14:00:00",3,1,1,0,2
"2022-01-19 15:00:00",6,6,3,3,0
"2022-01-19 16:00:00",1,1,0,1,0
"2022-01-19 16:30:00",1,1,0,1,0
"2022-01-19 17:00:00",3,1,1,0,2
"2022-01-20 09:00:00",5,5,2,3,0
"2022-01-20 09:30:00",1,1,1,0,0
"2022-01-20 10:00:00",2,2,0,2,0
"2022-01-20 11:00:00",4,4,3,1,0
"2022-01-20 12:00:00",1,1,1,0,0
"2022-01-20 14:00:00",1,1,0,1,0
"2022-01-20 14:30:00",1,1,1,0,0
"2022-01-20 15:00:00",1,1,1,0,0
"2022-01-20 15:30:00",1,1,0,1,0
"2022-01-20 16:00:00",4,4,0,4,0
"2022-01-21 09:00:00",1,1,0,1,0
"2022-01-21 10:00:00",2,2,2,0,0
"2022-01-21 11:00:00",1,1,0,1,0
"2022-01-21 14:00:00",4,3,2,1,1
"2022-01-21 15:30:00",1,1,0,1,0
"2022-01-21 16:00:00",3,3,1,2,0
"2022-01-21 16:30:00",1,1,1,0,0
"2022-01-21 17:00:00",3,2,0,2,1
"2022-01-22 08:00:00",2,2,0,2,0
"2022-01-22 08:30:00",2,2,0,2,0
"2022-01-22 09:00:00",2,2,0,2,0
"2022-01-22 09:30:00",1,1,1,0,0
"2022-01-22 10:00:00",9,8,2,6,1
"2022-01-22 10:30:00",2,2,1,1,0
"2022-01-22 11:00:00",4,4,2,2,0
"2022-01-22 13:00:00",4,4,4,0,0
"2022-01-22 13:30:00",1,1,0,1,0
"2022-01-22 14:00:00",5,4,0,4,1
"2022-01-22 15:00:00",7,7,2,5,0
"2022-01-22 15:30:00",2,2,1,1,0
"2022-01-22 16:00:00",4,4,0,4,0
"2022-01-25 09:00:00",4,4,2,2,0
"2022-01-25 10:00:00",3,2,0,2,1
"2022-01-25 11:00:00",1,0,0,0,1
"2022-01-25 12:00:00",1,1,0,1,0
"2022-01-25 14:00:00",9,6,3,3,3
"2022-01-25 15:00:00",5,5,2,3,0
"2022-01-25 16:00:00",3,3,0,3,0
"2022-01-25 16:30:00",3,3,1,2,0
"2022-01-25 17:00:00",8,6,3,3,2
"2022-01-26 09:00:00",3,3,1,2,0
"2022-01-26 10:00:00",4,4,2,2,0
